Year,Date(s),City,Stadium,country
2023,March 17-18,"Glendale, AZ",State Farm Stadium,US
2023,March 24-25,"Las Vegas, NV",Allegiant Stadium,US
2023,March 31-April 2,"Arlington, TX",AT&T Stadium,US
2023,April 13-15,"Tampa, FL",Raymond James Stadium,US
2023,April 21-23,"Houston, TX",AT&T Stadium,US
2023,April 28-30,"Atlanta, GA",Mercedes-Benz Stadium,US
2023,May 5-7,"Nashville, TN",Nissan Stadium,US
2023,May 12-14,"Philadelphia, PA",Lincoln Financial Field,US
2023,May 19-21,"Foxborough, MA",Gillette Stadium,US
2023,May 26-28,"East Rutherford, NJ",MetLife Stadium,US
2023,June 2-4,"Chicago, IL",Soldier Field,US
2023,June 9-10,"Detroit, MI",Ford Field,US
2023,June 16-17,"Pittsburgh, PA",Acrisure Stadium,US
2023,June 23-24,"Minneapolis, MN",US Bank Stadium,US
2023,June 30-July 1,"Cincinnati, OH",Paycor Stadium,US
2023,July 7-8,"Kansas City, MO",Arrowhead Stadium,US
2023,July 14-15,"Denver, CO",Mile High Stadium,US
2023,July 22-23,"Seattle, WA",Lumen Field,US
2023,July 28-29,"Santa Clara, CA",Levi’s Stadium,US
2023,August 3-9,"Inglewood, CA",SoFi Stadium,US
2023,August 24-27,Mexico City,Foro Sol,Mexico
2023,November 9-12,Buenos Aires,Estadio River Plate,Argentina
2023,November 17-19,Rio de Janiero,Estadio Olimpico Nilton Santos,Brazil
2023,November 24-26,São Paolo,Allianz Parque,Brazil
2024,February 7-10,Tokyo,Tokyo Dome,Japan
2024,February 16-18,Melbourne,Melbourne Cricket Ground,Australia
2024,February 23-26,Sydney,Accor Stadium,Australia
2024,March 2-9,Singapore,Singapore National Stadium,Singapore
2024,May 9-12,Paris,Paris La Défense Arena,France
2024,May 17-19,Stockholm,Friends Arena,Sweden
2024,May 24-25,Lisbon,Estadio la Luz,Portugal
2024,May 29-30,Madrid,Estadio Santiago Bernabéu,Spain
2024,June 2-3,Décines-Charpieu,Groupama Stadium,France
2024,June 7-9,Edinburgh,Murrayfield Stadium,Scotland
2024,June 13-15,Liverpool,Anfield,England
2024,18-Jun,Cardiff,Principality Stadium,Whales
2024,June 21-23,London,Wembley Stadium,England
2024,June 28-30,Dublin,Aviva Stadium,Ireland
2024,July 4-6,Amsterdam,Johan Cruyff Arena,Netherlands
2024,July 9-10,Zürich,Letzigrund,Switzerland
2024,July 13-14,Milan,San Siro,Italy
2024,July 17-19,Gelsenkirchen,Veltins-Arena,Germany
2024,July 23-24,Hamburg,Volksparkstadion,Germany
2024,July 27-28,Munich,Olympiastadion,Germany
2024,August 1-3,Warsaw,Narodowy,Poland
2024,August 8-10,Vienna,Ernst-Happel-Stadion,Austria
2024,August 15-20,London,Wembley Stadium,England
2024,October 18-20,"Miami, FL",Miami Gardens,US
2024,October 25-27,"New Orleans, LA",Caesars Superdome,US
2024,November 1-3,"Indianapolis, IN",Lucas Oil Stadium,US
2024,November 14-23,Toronto,Rogers Centre,Canada
2024,December 6-8,Vancouver,BC Place,Canada
